iter	Passed	Remaining
402	8613	23445
403	8616	23375
404	8640	23361
405	8643	23291
406	8663	23265
407	8669	23202
408	8717	23254
409	8737	23228
410	8740	23160
411	8757	23126
412	8771	23084
413	8792	23064
414	8798	23003
415	8824	22994
416	8830	22933
417	8862	22941
418	8882	22915
419	8902	22892
420	8905	22823
421	8932	22817
422	8947	22780
423	8974	22773
424	8979	22713
425	9001	22692
426	9018	22661
427	9022	22597
428	9044	22579
429	9056	22535
430	9091	22548
431	9124	22556
432	9132	22503
433	9152	22480
434	9157	22420
435	9181	22407
436	9189	22352
437	9213	22339
438	9216	22275
439	9220	22212
440	9264	22246
441	9266	22182
442	9269	22117
443	9322	22173
444	9330	22119
445	9367	22136
446	9370	22075
447	9397	22066
448	9403	22011
449	9407	21949
450	9461	22006
451	9465	21946
452	9468	21884
453	9513	21917
454	9542	21915
455	9545	21853
456	9605	21921
457	9607	21858
458	9630	21841
459	9636	21786
460	9640	21727
461	9644	21669
462	9648	21609
463	9706	21673
464	9710	21614
465	9739	21611
466	9743	21553
467	9774	21553
468	9778	21494
469	9781	21435
470	9784	21377
471	9843	21439
472	9861	21412
473	9889	21406
474	9892	21346
475	9910	21320
476	9978	21400
477	9981	21340
478	10024	21368
479	10046	21348
480	10050	21292
481	10110	21352
482	10113	21293
483	10116	21236
484	10164	21272
485	10167	21214
486	10191	21200
487	10194	21141
488	10215	21120
489	10221	21068
490	10224	21010
491	10228	20956
492	10249	20936
493	10253	20880
494	10278	20867
495	10297	20843
496	10324	20835
497	10328	20780
498	10331	20725
499	10379	20758
500	10382	20703
501	10419	20714
502	10425	20664
503	10470	20690
504	10504	20696
505	10528	20682
506	10531	20626
507	10561	20623
508	10593	20624
509	10600	20576
510	10607	20530
511	10632	20516
512	10634	20461
513	10637	20404
514	10663	20395
515	10666	20341
516	10669	20285
517	10706	20296
518	10711	20246
519	10740	20242
520	10744	20189
521	10748	20138
522	10755	20092
523	10758	20038
524	10772	20005
525	10776	19954
526	10820	19977
527	10848	19971
528	10852	19919
529	10871	19897
530	10877	19849
531	10884	19804
532	10892	19762
533	10898	19715
534	10906	19673
535	10990	19766
536	11006	19737
537	11021	19708
538	11025	19657
539	11065	19671
540	11072	19628
541	11075	19576
542	11079	19526
543	11124	19549
544	11127	19499
545	11131	19449
546	11165	19453
547	11177	19417
548	11180	19367
549	11215	19372
550	11218	19322
551	11256	19332
552	11280	19318
553	11300	19297
554	11304	19247
555	11323	19225
556	11327	19177
557	11351	19164
558	11355	19115
559	11379	19101
560	11384	19055
561	11411	19046
562	11416	19000
563	11455	19010
564	11469	18980
565	11472	18931
566	11492	18910
567	11502	18873
568	11518	18846
569	11521	18797
570	11539	18774
571	11543	18728
572	11574	18726
573	11577	18677
574	11609	18676
575	11617	18637
576	11652	18639
577	11654	18591
578	11669	18562
579	11694	18549
580	11698	18504
581	11702	18457
582	11720	18435
583	11737	18409
584	11746	18372
585	11751	18329
586	11764	18297
587	11766	18250
588	11796	18244
589	11800	18200
590	11826	18189
591	11851	18176
592	11854	18132
593	11879	18118
594	11907	18111
595	11910	18066
596	11933	18049
597	11951	18027
598	11954	17981
599	11967	17951
600	11980	17921
601	12000	17901
602	12003	17855
603	12006	17811
604	12031	17798
605	12035	17756
606	12039	17711
607	12042	17666
608	12093	17693
609	12105	17662
610	12128	17646
611	12147	17625
612	12165	17603
613	12168	17559
614	12172	17516
615	12210	17522
616	12233	17508
617	12237	17464
618	12269	17462
619	12273	17420
620	12292	17399
621	12295	17355
622	12320	17343
623	12335	17317
624	12357	17300
625	12376	17279
626	12381	17238
627	12410	17232
628	12431	17214
629	12438	17176
630	12465	17167
631	12469	17125
632	12472	17083
633	12476	17041
634	12479	16999
635	12528	17019
636	12531	16977
637	12551	16958
638	12577	16947
639	12607	16940
640	12618	16909
641	12629	16878
642	12683	16904
643	12695	16875
644	12709	16847
645	12727	16825
646	12738	16794
647	12761	16778
648	12781	16759
649	12818	16762
650	12823	16723
